"recipeID","instructions"
"10088","preheat oven cook pasta accord package direction omit salt fat drain good heat oil dutch oven mediumhigh heat add red bell pepper strip mushroom saut minute add chicken ginger garlic saut minute stir soy sauce cook minute stir frequently combine broth cornstarch stir good whisk add broth mixture pan cook minute mixture slightly thick stir constantly remove heat stir sherry vinegar crush red pepper add pasta bok choy green onion teaspoon sesame seed pan toss good combine spoon pasta mixture inch square bake dish lightly coat cook spray combine breadcrumb butter remain sesame seed sprinkle evenly pasta mixture bake minute breadcrumb begin brown"
"10091","medium saucepan cover chicken breast water bring simmer moderately high heat reduce heat low skim add whole scallion slice ginger pinch salt simmer chicken breast cook minute transfer chicken plate let cool room temperature discard skin bone shred meat medium saucepan heat inch vegetable oil moderately high heat shimmer add small handful wonton strip fry moderate heat crisp golden brown second drain paper towel repeat remain wonton strip small bowl whisk rice vinegar sesame oil soy sauce grate ginger tablespoon vegetable oil season salt pepper large bowl toss slice scallion bok choy mizuna bean sprout carrot cilantro peanut add chicken wonton strip dress toss serve"
"10092","toss chicken oyster sauce bowl mix cornstarch tablespoon cold water another bowl place bowl near stave remain ingredient heat wok deep skillet high heat hot add peanut oil scallion ginger garlic stirfry second add chicken mixture stirfry meat long pink outside minute stir mushroom bok choy add broth sesame oil skillet bring boil high heat add cornstarch mixture return boil cook toss chicken cook sauce thick glossy minute serve rice desiredper serve calorie fat g saturate g cholesterol mg sodium mg carbohydrate g fiber g protein gphotograph antonis achilleos"
"10097","halve tofu crosswise cut lengthwise fourth form slice put tofu slice several layer paper towel drain replace towel need ready use finely chop enough shallot measure cup reserve cut remain shallot crosswise inchthick slice separate ring heat oil inch heavy skillet preferably castiron moderately high heat hot smoke fry slice shallot batch stir occasionally golden brown minute per batch watch closely shallot can burn easily quickly transfer shallot fry slot spoon paper towel drain pour tablespoon oil skillet reserve skillet cook sugar spin-dry quart heavy saucepan moderate heat undisturbed melt around edge begin turn golden continue cook stir sugar melt turn golden caramel add reserve chop shallot use caution caramel will bubble steam vigorously cook stir shallot shrink fragrant second add garlic ginger cook stir second stir soy sauce vinegar cup water simmer stir harden caramel dissolve minute stir together cornstarch remain tablespoon water smooth stir sauce simmer stir occasionally minute remove heat keep warm cover heat oil remain skillet high heat hot smoke meanwhile blot excess moisture remain tofu paper towel add hot oil skillet layer fry tofu turn golden crisp minute total transfer clean paper towel drain briefly reheat sauce serve tofu top sauce basil mint fry shallot · sauce can make day ahead chill uncover completely cool cover reheat sauce moderately low heat thin additional water necessary · shallot can fry day ahead cool completely uncover keep room temperature airtight container line paper towel"
"10099","heat oil wok skillet high heat add shallot saute minute add carrot stir fry minute add green bean stir fry minute add bok choy stir fry minute add broth simmer minute add soy sauce serve"
"10100","bowl marinate pork bean tablespoon soy sauce teaspoon sambal minute saucepan simmer chicken stock ginger sugar onethird garlic remain tablespoon soy sauce teaspoon sambal low heat reduce cup minute boil squash large saucepan salt water just tender minute transfer plate boil noodle water al dente drain rinse wok stirfry shallot remain garlic oil minute add pork mixture stirfry meat just white throughout add cockle pour ginger sauce simmer cockle open minute stir noodle squash bok choy serve"
"10101","line plate triple layer paper towel top tofu place triple layer paper towel top tofu top another plate let stand minute cut tofu inch cube cook noodle large pan boil water minute do drain colander bowl reserve cup cook liquid wipe pan paper towel heat oil pan medium heat add garlic pan cook second stir constantly add salt bok choy cook second stir frequently stir cup reserve cook liquid bring boil reduce heat cook minute combine sugar remain ingredient stir combine add noodle remain cup cook liquid sugar mixture pan toss combine cook second thoroughly heat toss coat add tofu toss combine serve immediately"
"10103","heat teaspoon oil large dutch oven mediumhigh heat sprinkle roast evenly fivespice powder salt add meat pan cook minute turn brown side add broth next ingredient star anise pan bring simmer cover reduce heat simmer hour meat tender remove meat pan cover keep warm strain cook liquid sieve bowl discard solid heat remain teaspoon oil pan mediumhigh heat add mushroom carrot pan saut minute add bok choy cup reserve cook liquid pan cover cook minute bok choy tender cook noodle accord package direction omit salt fat drain divide noodle evenly among bowl shred meat fork arrange ounce meat serve top serve tablespoon vegetable mixture cup broth place bok choy half serve sprinkle serve teaspoon green onion"
"10105","preheat fryerin wok heat oil oil hot add pork season salt pepper stir fry minute add onion garlic continue cook minute add bok choy shrimp season salt pepper stirfry minute season sesame oil soy sauce sake sugar add sprout green onion mix thoroughly remove heat cool completelyto assemble spoon cup fill rectangular shape center wrapper fold end toward center inch begin bottom roll wrapper like jelly roll use little egg wash seal end tightly repeat egg roll donefry egg roll batch golden brown stir occasionally overall brown minute remove oil drain paper towel season egg roll essence serve warm sweet sour sauce tablespoon paprika tablespoon salt tablespoon garlic powder tablespoon black pepper tablespoon onion powder tablespoon cayenne pepper tablespoon dry oregano tablespoon dry thyme combine ingredient thoroughly"
"10107","cook noodle accord packet instruction water boil fill nearby saucepan stock brown sugar star anise ginger soy sauce noodle do just drain put half bowl flavor stock come boil add vegetable cook minute pour half bowl cook drain noodle sprinkle cilantro"
"10111","wok large fry pan heat oil high heat hot add bok choy stirfry begin soften slightly minute add soy sauce vinegar sesame oil cook just do minute long sprinkle sesame seed serve"
"10114","puree first ingredient teaspoon red pepper blender smooth machine run gradually add canola oil open lid season dress taste salt pepper ahead can make day ahead cover chill bring room temperature continue cook soba noodle large pot boil salt water tender still firm bite drain rinse cold water drain good use kitchen shear cut noodle crosswise place drizzle noodle strainer sesame oil toss coat place green bok choy cucumber green onion chop cilantro mint large bowl add teaspoon red pepper dress noodle toss coat season taste salt pepper garnish cilantro sprig peanut serve"
"10117","heat oil large saucepan mediumheat add white pale green part ofgreen onion tablespoon cilantro andgarlic sauté tender minute add curry paste cook fragrant minute add cup water coconut milkchiles lime leave fish sauce bring tosimmer add carrot cover cook untilcarrot just tender minute layerbok choy shrimp scallop musselsin pan cover simmer musselsopen seafood bok choy cookeddiscard mussel open minute stir dark green part greenonions tablespoon cilantro basil divide rice among shallow bowlsladle curry rice serve unrefined peanut oilcan find natural food store asian market thai green curry pastecoconut milk fish sauce sell atmany supermarket asian marketslook fresh freeze kaffir lime leavesat asian market unavailable use tablespoon fresh lime juice teaspoongrated lime peel lime leaf"
"10119","place tofu several layer paper towel place heavy plate top tofu let stand minute cut tofu crosswise piece combine mirin next ingredient mirin garlic bowl stir whisk heat large nonstick skillet mediumhigh heat add tofu piece pour mirin mixture tofu bring boil cook minute turn tofu piece cook minute remove heat keep warmbring broth boil dutch oven add bok choy cover cook minute crisptender drain place cup soba noodle plate top serve tofu piece spoon tablespoon sauce tofu piece sprinkle serve tablespoon green onion teaspoon toast sesame seed arrange bok choy half plate"
"10122","cook noodle accord package direction drain rinse cold water measure cup mix stock soy sauce shaoxing sesame oil crush red pepper small bowl mix cornstarch water large skillet heat tablespoon vegetable oil add garlic cook moderate heat golden minute use slot spoon transfer garlic plate add egg skillet cook stir frequently set minute transfer egg plate season pork salt pepper add pork skillet stirfry moderately high heat brown just cook minute transfer pork plate garlic egg skillet heat remain tablespoon oil add mushroom season salt pepper cook moderate heat tender minute add bok choy cook soften minute add noodle soy sauce cornstarch mixture cook moderate heat toss sauce thicken minute add garlic egg pork accumulate juice cook toss pork heat minute transfer bowl serve"
"10123","heat tablespoon vegetable oil wok large skillet high heat stir mushroom snow pea water chestnut bok choy season taste salt pepper cook stir vegetable just tender minute remove vegetable wok wipe wok clean heat remain tablespoon vegetable oil wok stir garlic ginger cook second garlic begin turn golden brown stir chicken cook chicken long pink minute add wine sugar chicken broth bring boil dissolve cornstarch water stir simmer sauce sauce return simmer stir thick clear second return vegetable wok toss hot coat sauce"
"10124","meanwhile pour coconut milk small saucepan heat just hot stir curry paste use spoon mash coconut milk combine good add vegetable tofu stir good add rest coconut milk pot add brown sugar bok choy stem soy sauce stir everything together low heat allow cook flavor good blend minute minute serve stir cilantro bok choy leave allow wilt slightly serve jasmine rice"
"10125","heat quart vegetable stock chicken broth boil soup pot separate pot cook linguini accord package direction drain add chicken boil broth poach chicken minute broth ladle soup deep bowl equally distribute broth chicken divide veggies equal amount place bowl divide cook fresh pasta equal amount place bowl cover bowl allow steep minute gently incorporate noodle bottom bowl serve slurp away customary slurp eat use oversized spoon drag noodle mouth may need bib will fun noodle bowl may garnish cilantro chive extra herby zing"
"10130","place wok medium heat add tablespoon sesame oil hot add marinate tofu cook minute add mushroom carrot bok choy yellow pepper scallion stirfry vegetable quickly add soy sauce oyster sauce stir good within minute stirfry cook satisfy texture place mixture serve plate wok add remain tablespoon oil add lightly beat egg scramble egg add cook rice stir fry serve tofu vegetable mixturefor tofu marinadein medium bowl add tofu red chili flake soy sauce rice wine vinegar stir make sure tofu cover let tofu sit minute medium saucepan add cup water salt bring boil add rice cover low heat cook minute"
"10131","heat oil medium stock pot saute onion garlic tender add beef pot saute brown pour water bring boil reduce heat simmer minute place tomato green bean pot continue simmer minute stir bok choy broccoli tamarind soup mix simmer additional minute"
"10133","prepare pot sticker bring sherry cup water boil small saucepan remove heat add mushroom cover let stand minute mushroom tender drain discard liquid finely chop mushroom combine mushroom bok choy next ingredient bok choy chicken stir good work wonton wrapper time cover remain wrapper damp towel prevent dry spoon teaspoon chicken mixture center wrapper moisten edge dough water bring opposite corner center pinch point seal bring remain corner center pinch point seal pinch edge together seal place pot sticker large bake sheet sprinkle cornstarch heat tablespoon oil large nonstick skillet mediumhigh heat add half pot sticker cook minute bottom golden brown carefully add cup water pan cover cook minute uncover cook minute liquid evaporate repeat procedure remain tablespoon oil pot sticker cup water prepare sauce combine mirin remain ingredient serve pot sticker"
"10135","watch make recipe medium stock pot boil water add salt cook noodle finish place noodle ice water bath cool drain set aside medium bowl combine sesame oil vinegar soy sauce hot chili oil hoisin extravirgin olive oil mix thoroughly combine prepare vegetable noodle garnish sesame seed peanut"
"10136","bring pot water boil pulse sesame seed mini food processor tablespoon sesame oil tablespoon sugar teaspoon salt powdery set asideprepare stirfry quarter seed finely die pickle put bowl another bowl mix garlic ginger scallion teaspoon salt remain teaspoon sugar mix tablespoon soy sauce broth 3 bowl mix pork tablespoon soy sauce teaspoon salt another bowl place four bowl stave place large skillet high heat add tablespoon vegetable oil pork break wooden spoon cook spin-dry minute transfer meat bowl toss remain tablespoon soy sauce add remain tablespoon vegetable oil skillet stirfry pickle minute add garlic mixture fry second add broth boil reduce half minute divide broth among bowl drizzle chili oil vinegarmeanwhile add noodle bok choy boil water cook just tender minute drain toss remain tablespoon sesame oil season salt divide among bowl top pork sprinkle sesame powder serve sesame chili oilphotograph sing"
"10137","large soup pot medium heat add scallion white part ginger garlic sesame oil cook minute add cup water rinse kombu add pot along bonito flake bring simmer cook minute let boil remove kombu set aside add dry mushroom miso pot let simmer gently minute mushroom hydrate tender add bok choy simmer tender minute add tofu cook another minute ladle bowl garnish reserve green part scallion"
"10141","soak arame cup filter water small bowl set aside wash quinoa change cold water bowl drain quinoa sieve time put quinoa quart saucepan kombu cup filter water simmer uncover quinoa just tender minute drain sieve minute quinoa do cook onion oil quart heavy saucepan moderate heat stir frequently begin brown minute add garlic cook stir second add tofu carrot shiitake remain cup filter water simmer cover carrot just tender minute remove kombu quinoa discard stir quinoa stew remove heat put miso small bowl add cup stew liquid whisk miso incorporate stir mixture stew drain rinse arame add stew along bok choy tamari stir combine divide stew bowl sprinkle scallion dulse flake available asian market natural food store edenfoodscom available specialty food shop natural food store ethnicgrocercom available asian market natural food store uwajimaya available natural food store available asian market natural food store seavegcom"
"10147","bake recipe barbecue recipe blender recipe bread machine recipe convection oven recipe"
"10148","bake recipe barbecue recipe blender recipe bread machine recipe convection oven recipe"
"10152","place chicken chicken broth salt ginger large pot bring boil high heat reduce heat mediumlow simmer chicken tender long pink minute remove chicken strain broth new pot discard solid fill bowl hot tap water add long rice noodle let sit minute soften stir onion broth bring boil reduce heat mediumlow meanwhile remove skin bone chicken discard roughly chop meat set aside add noodle chicken meat green onion bok choy simmer noodle tender noodle sit minute stir chicken meat green onion bok choy reheat serve"
"10156","place pork tenderloin strip mediumbowl sprinkle salt freshly groundblack pepper toss cornstarch tocoat heat tablespoon sesame oil largenonstick skillet mediumhigh heat add mince ginger stir second addpork tenderloin strip stirfry pork isbeginning brown almost cookedthrough minute add tangerinepieces toss second add sweet chilisauce soy sauce chinese fivespicepowder boil sauce skillet thickensslightly toss blend minutestir remain tablespoon sesame oilbok choy half slice green onionsstirfry just bok choy wilt minute season taste salt andfreshly grind black pepper transfer tobowl sprinkle remain slice greenonions serve"
"10159","mix cornstarch soy sauce blend stir broth tbsp dress heat remain dress large skillet mediumhigh heat add shrimp ginger garlic stirfry min shrimp turn pink add bok choy stirfry min add pea onion stirfry min crisptender stir soy sauce mixture bring boil stir constantly simmer medium heat min thicken stir frequently add tomato cook stir min heat serve rice"
"10162","preheat oven degree f degree c large bowl mix noodle sunflower seed pine nut melt butter evenly coat spread mixture thin layer bake sheet bake minute preheat oven stir occasionally evenly toast remove heat cool slightly large bowl toss together noodle mixture bok choy green onion chicken water chestnut snow pea prepare dress blend oil vinegar soy sauce sugar lemon juice pour salad toss evenly coat serve immediately refrigerate chill"
"10165","soak noodle bowl hot water minute soften drain good rinse cold run water cut manageable length kitchen scissor heat tbsp oil wok high heat add chicken stirfry minute lightly brown transfer plate reduce heat medium add remain tbsp oil add onion stirfry minute add mushroom bell pepper lemongrass ginger chili stirfry minute bell pepper soften add bok choy stirfry minute wilt return chicken pan add noodle pour soy sauce fish sauce sweet chile sauce toss everything together heat minute pipe hot serve hot var article typedata article typedatainitstepbystepimages"
"10172","watch make recipe cut chicken inch piece season salt taste fivespice powder large saute pan high side mediumhigh heat add peanut oil oil hot add whole garlic clove chile saute just start blacken remove discard garlic chile leave flavor oil add chicken pan saute golden cook stir bok choy carrot saute minute stir mirin cook second add soy sauce chicken stock heat ladle soup large wide bowl garnish chop cilantro"
"10173","watch make recipe arrange bok choy red pepper bottom slow cooker season chicken breast half salt black pepper place top bok choy small bowl whisk together broth sake sesame oil ginger curry paste pour mixture chicken cover cook low hour high hour small skillet toast flake coconut low heat lightly toast minute medium saucepan add rice coconut milk set pan mediumhigh heat bring simmer minute remove heat let stand minute stir toast coconut set aside cup another recipe spoon rice onto serve platter top chicken bok choy bell pepper sauce slow cooker garnish cilantro"
"10174","prepare marinade combine first eight ingredient separate bok choy leave cut stem inch section marinate tofu mushroom onion hour depend upon strong flavor want thread ingredient youll need roll bok choy leavesonto four large twelve small thick wooden skewer cook barbecue broiler minute baste marinade turn regularly var article typedata article typedatainitstepbystepimages"
"10175","cut pucker end polenta slice inch thick cut slice little wedge heat wide nonstick skillet add drop oil spread around paper towel create light coat use cook oil spray add polenta wedge cook single layer medium heat lightly brown minute side transfer polenta plate heat oil soy sauce slowly skillet get hot add seitan stir good raise heat mediumhigh saut stir frequently minute stir bok choy spinach scallion cover cook just wilt minute sprinkle vinegar taste gently fold polenta wedge sundried tomato use season salt pepper serve var article typedata article typedatainitstepbystepimages"
